Time,U,V,W,U_avg,V_avg,W_avg,U-Uavg,V-Vavg,W-Wavg
0,32.8,5.97,3.08,27.30653354,0.048330476,0.107577744,5.493466465,5.921669524,2.972422256
0.01,30.57,5.56,0.8,,,,3.263466465,5.511669524,0.692422256
0.02,29.1,3.36,-1.29,,,,1.793466465,3.311669524,-1.397577744
0.03,27.63,1.16,-1.85,,,,0.323466465,1.111669524,-1.957577744
0.04,26.24,-2.32,-0.75,,,,-1.066533535,-2.368330476,-0.857577744
0.05,26.13,-0.37,-0.45,,,,-1.176533535,-0.418330476,-0.557577744
0.06,26.03,1.56,-0.15,,,,-1.276533535,1.511669524,-0.257577744
0.07,28.9,0.31,0.06,,,,1.593466465,0.261669524,-0.047577744
0.08,29.17,1.97,0.17,,,,1.863466465,1.921669524,0.062422256
0.09,30.42,3.9,-1.38,,,,3.113466465,3.851669524,-1.487577744
0.1,31.67,2.93,-0.6,,,,4.363466465,2.881669524,-0.707577744
0.11,29.73,2.16,-0.82,,,,2.423466465,2.111669524,-0.927577744
0.12,30.75,4.27,-1.68,,,,3.443466465,4.221669524,-1.787577744
0.13,31.79,3.21,-1.25,,,,4.483466465,3.161669524,-1.357577744
0.14,25.15,3.4,-1.59,,,,-2.156533535,3.351669524,-1.697577744
0.15,24.13,0.68,0.15,,,,-3.176533535,0.631669524,0.042422256
0.16,23.11,2.04,-0.72,,,,-4.196533535,1.991669524,-0.827577744
0.17,25.55,3.31,1.45,,,,-1.756533535,3.261669524,1.342422256
0.18,25.61,2.18,2.04,,,,-1.696533535,2.131669524,1.932422256
0.19,25.02,2.1,2.09,,,,-2.286533535,2.051669524,1.982422256
0.2,26.94,0.21,2.22,,,,-0.366533535,0.161669524,2.112422256
0.21,27.21,0.24,1.65,,,,-0.096533535,0.191669524,1.542422256
0.22,29.4,-0.34,0.46,,,,2.093466465,-0.388330476,0.352422256
0.23,30.5,-1.76,1.31,,,,3.193466465,-1.808330476,1.202422256
0.24,29.03,2.61,0.12,,,,1.723466465,2.561669524,0.012422256
0.25,25.83,-0.88,0.74,,,,-1.476533535,-0.928330476,0.632422256
0.26,25.18,3.31,0.19,,,,-2.126533535,3.261669524,0.082422256
0.27,24.95,0.24,1.11,,,,-2.356533535,0.191669524,1.002422256
0.28,29.98,0.97,2.08,,,,2.673466465,0.921669524,1.972422256
0.29,27.98,0.13,2.22,,,,0.673466465,0.081669524,2.112422256
0.3,25.99,-0.7,2.37,,,,-1.316533535,-0.748330476,2.262422256
0.31,26.32,1.9,2.65,,,,-0.986533535,1.851669524,2.542422256
0.32,22.4,3.31,3.04,,,,-4.906533535,3.261669524,2.932422256
0.33,25.42,4.63,3.38,,,,-1.886533535,4.581669524,3.272422256
0.34,28.18,3.28,3.22,,,,0.873466465,3.231669524,3.112422256
0.35,30.46,1.44,3.29,,,,3.153466465,1.391669524,3.182422256
0.36,29.13,2.49,3.67,,,,1.823466465,2.441669524,3.562422256
0.37,29.67,0.97,3.89,,,,2.363466465,0.921669524,3.782422256
0.38,29.82,2.3,4.04,,,,2.513466465,2.251669524,3.932422256
0.39,29.98,3.64,3.9,,,,2.673466465,3.591669524,3.792422256
0.4,30.52,5.57,3.06,,,,3.213466465,5.521669524,2.952422256
0.41,27.11,5.68,2.22,,,,-0.196533535,5.631669524,2.112422256
0.42,25.58,4.88,0.86,,,,-1.726533535,4.831669524,0.752422256
0.43,24.05,4.08,-0.49,,,,-3.256533535,4.031669524,-0.597577744
0.44,21.61,2.05,0.27,,,,-5.696533535,2.001669524,0.162422256
0.45,23.81,0.03,1.32,,,,-3.496533535,-0.018330476,1.212422256
0.46,25.44,-0.41,1.81,,,,-1.866533535,-0.458330476,1.702422256
0.47,21.88,0.68,2.12,,,,-5.426533535,0.631669524,2.012422256
0.48,22.72,-1.25,2.64,,,,-4.586533535,-1.298330476,2.532422256
0.49,24.68,-3.95,2.4,,,,-2.626533535,-3.998330476,2.292422256
0.5,23.16,-1.36,2.16,,,,-4.146533535,-1.408330476,2.052422256
0.51,25,-1.35,2.01,,,,-2.306533535,-1.398330476,1.902422256
0.52,25.38,-0.85,1.86,,,,-1.926533535,-0.898330476,1.752422256
0.53,24.04,-1.26,1.7,,,,-3.266533535,-1.308330476,1.592422256
0.54,26.3,0.23,0.93,,,,-1.006533535,0.181669524,0.822422256
0.55,25.81,-1.22,0.15,,,,-1.496533535,-1.268330476,0.042422256
0.56,25.33,-2.67,-0.63,,,,-1.976533535,-2.718330476,-0.737577744
0.57,25.13,-2.03,-0.99,,,,-2.176533535,-2.078330476,-1.097577744
0.58,25.49,-4.72,-0.93,,,,-1.816533535,-4.768330476,-1.037577744
0.59,22.92,-4.17,-1.05,,,,-4.386533535,-4.218330476,-1.157577744
0.6,21.27,-3.64,-1.35,,,,-6.036533535,-3.688330476,-1.457577744
0.61,24.6,-3.64,-0.51,,,,-2.706533535,-3.688330476,-0.617577744
0.62,26.67,-3.13,-0.97,,,,-0.636533535,-3.178330476,-1.077577744
0.63,24.7,-2.63,-1.15,,,,-2.606533535,-2.678330476,-1.257577744
0.64,22.73,-3.86,-0.43,,,,-4.576533535,-3.908330476,-0.537577744
0.65,22.57,1.04,0.51,,,,-4.736533535,0.991669524,0.402422256
0.66,23.49,1.87,1.09,,,,-3.816533535,1.821669524,0.982422256
0.67,24.42,2.41,1.07,,,,-2.886533535,2.361669524,0.962422256
0.68,24.13,2.22,0.87,,,,-3.176533535,2.171669524,0.762422256
0.69,26.37,2.03,0.1,,,,-0.936533535,1.981669524,-0.007577744
0.7,27.3,4.05,-0.34,,,,-0.006533535,4.001669524,-0.447577744
0.71,21.96,2.23,0.43,,,,-5.346533535,2.181669524,0.322422256
0.72,22.6,0.43,0.74,,,,-4.706533535,0.381669524,0.632422256
0.73,24.45,0.68,0.43,,,,-2.856533535,0.631669524,0.322422256
0.74,26.3,0.94,0.13,,,,-1.006533535,0.891669524,0.022422256
0.75,27.57,-0.12,-0.17,,,,0.263466465,-0.168330476,-0.277577744
0.76,25.11,-1.41,-1.03,,,,-2.196533535,-1.458330476,-1.137577744
0.77,26.62,3.09,-0.51,,,,-0.686533535,3.041669524,-0.617577744
0.78,26.57,1.61,-1.18,,,,-0.736533535,1.561669524,-1.287577744
0.79,23.28,1.25,-0.51,,,,-4.026533535,1.201669524,-0.617577744
0.8,22.92,1.53,-0.68,,,,-4.386533535,1.481669524,-0.787577744
0.81,20.67,-3.22,-0.26,,,,-6.636533535,-3.268330476,-0.367577744
0.82,21.19,0.48,0.2,,,,-6.116533535,0.431669524,0.092422256
0.83,21.71,-0.25,1.56,,,,-5.596533535,-0.298330476,1.452422256
0.84,24.31,-0.64,1.5,,,,-2.996533535,-0.688330476,1.392422256
0.85,26.91,-1.04,1.44,,,,-0.396533535,-1.088330476,1.332422256
0.86,27.73,3.05,-0.27,,,,0.423466465,3.001669524,-0.377577744
0.87,26.55,1.13,-0.57,,,,-0.756533535,1.081669524,-0.677577744
0.88,26.33,0.82,-0.74,,,,-0.976533535,0.771669524,-0.847577744
0.89,26.12,0.52,-0.91,,,,-1.186533535,0.471669524,-1.017577744
0.9,27.77,1.11,-1.04,,,,0.463466465,1.061669524,-1.147577744
0.91,27.23,1.49,-0.93,,,,-0.076533535,1.441669524,-1.037577744
0.92,25.9,-1.77,-0.28,,,,-1.406533535,-1.818330476,-0.387577744
0.93,24.77,-0.97,-0.44,,,,-2.536533535,-1.018330476,-0.547577744
0.94,25.65,-2.45,-0.43,,,,-1.656533535,-2.498330476,-0.537577744
0.95,22.73,-2.63,0.03,,,,-4.576533535,-2.678330476,-0.077577744
